day,channel,campaign_network,cost
2025-05-16,Facebook,SOWL_IOS_W2W_US_SS_PURCH_160525_1125410095482598,38.17
2025-05-17,Facebook,SOWL_IOS_W2W_US_SS_PURCH_160525_1125410095482598,97.37
2025-05-18,Facebook,SOWL_IOS_W2W_US_SS_PURCH_160525_1125410095482598,125.5
2025-05-19,Facebook,SOWL_IOS_W2W_US_SS_PURCH_160525_1125410095482598,124.13
2025-05-20,Facebook,SOWL_IOS_W2W_US_SS_200525_1125410095482598,8.73
2025-05-20,Facebook,SOWL_IOS_W2W_US_SS_200525_1125410095482598_2,8.69
2025-05-20,Facebook,SOWL_IOS_W2W_US_SS_200525_1125410095482598_3,18.46
2025-05-20,Facebook,SOWL_IOS_W2W_US_SS_200525_1125410095482598_4,9.62
2025-05-20,Facebook,SOWL_IOS_W2W_US_SS_PURCH_160525_1125410095482598,89.59
2025-05-21,Facebook,SOWL_IOS_W2W_US_SS_200525_1125410095482598,18.21
2025-05-21,Facebook,SOWL_IOS_W2W_US_SS_200525_1125410095482598_2,17.96
2025-05-21,Facebook,SOWL_IOS_W2W_US_SS_200525_1125410095482598_3,37.79
2025-05-21,Facebook,SOWL_IOS_W2W_US_SS_200525_1125410095482598_4,17.75
2025-05-22,Facebook,SOWL_IOS_W2W_US_SS_200525_1125410095482598_4,20.99
2025-05-22,Facebook,SOWL_IOS_W2W_US_SS_200525_1125410095482598_4 — Копия,23.92
2025-05-23,Facebook,SOWL_IOS_W2W_US_SS_200525_1125410095482598_4,12.9
2025-05-23,Facebook,SOWL_IOS_W2W_US_SS_200525_1125410095482598_4 — Копия,47.32
2025-05-23,Facebook,SOWL_IOS_W2W_US_SS_230525_1125410095482598_5,114.61
2025-05-24,Facebook,SOWL_IOS_W2W_US_SS_230525_1125410095482598_5,310.37
2025-05-25,Facebook,SOWL_IOS_W2W_US_SS_230525_1125410095482598_5,337.3814
2025-05-26,Facebook,SOWL_IOS_W2W_US_SS_230525_1125410095482598_5,146.36
